composition,composition_obj,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
CsPbCl3,Cs1 Pb1 Cl3,17.0,82.0,65.0,37.6,24.72,17.0,5.0,94.0,89.0,73.6,27.440000000000005,94.0,35.453,207.2,171.74699999999999,89.29289037999999,64.60786845599999,35.453,171.6,600.61,429.01,283.4,134.16,171.6,1.0,17.0,16.0,13.2,4.880000000000001,17.0,3.0,6.0,3.0,4.2,1.44,3.0,102.0,244.0,142.0,139.2,44.64,102.0,0.79,3.16,2.37,2.5200000000000005,0.768,3.16,1.0,2.0,1.0,1.8,0.31999999999999995,2.0,0.0,5.0,5.0,3.4,1.9200000000000004,5.0,0.0,10.0,10.0,2.0,3.2,0.0,0.0,14.0,14.0,2.8,4.4799999999999995,0.0,1.0,28.0,27.0,10.0,7.2,7.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,4.0,4.0,1.4,1.0399999999999998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.6,0.9600000000000002,1.0,24.4975,115.765,91.2675,43.4735,28.916600000000006,24.4975,0.0,2.493,2.493,1.4957999999999998,1.19664,2.493,0.0,0.0,0.0,0.0,0.0,0.0,64.0,229.0,165.0,129.2,78.24,64.0
CsPbBr3,Cs1 Pb1 Br3,35.0,82.0,47.0,48.4,16.080000000000002,35.0,5.0,95.0,90.0,74.2,27.679999999999996,95.0,79.904,207.2,127.29599999999999,115.96349037999998,43.271388456,79.904,265.8,600.61,334.81,339.92,104.27600000000002,265.8,1.0,17.0,16.0,13.2,4.880000000000001,17.0,4.0,6.0,2.0,4.8,0.96,4.0,120.0,244.0,124.0,150.0,37.6,120.0,0.79,2.96,2.17,2.4,0.6719999999999999,2.96,1.0,2.0,1.0,1.8,0.31999999999999995,2.0,0.0,5.0,5.0,3.4,1.9200000000000004,5.0,0.0,10.0,10.0,8.0,3.2,10.0,0.0,14.0,14.0,2.8,4.4799999999999995,0.0,1.0,28.0,27.0,16.0,6.0,17.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,4.0,4.0,1.4,1.0399999999999998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.6,0.9600000000000002,1.0,28.11,115.765,87.655,46.463,27.720799999999997,29.48,0.0,1.457,1.457,0.8742000000000001,0.6993600000000001,1.457,0.0,0.0,0.0,0.0,0.0,0.0,64.0,229.0,165.0,129.2,78.24,64.0
CsPbI3,Cs1 Pb1 I3,53.0,82.0,29.0,59.2,9.120000000000001,53.0,5.0,96.0,91.0,74.8,27.920000000000005,96.0,126.90447,207.2,80.29552999999999,144.16377238,25.214491048000003,126.90447,301.59,600.61,299.02000000000004,412.55,75.224,386.85,1.0,17.0,16.0,13.2,4.880000000000001,17.0,5.0,6.0,1.0,5.4,0.4800000000000001,5.0,139.0,244.0,105.0,161.4,33.040000000000006,139.0,0.79,2.66,1.87,2.22,0.572,2.66,1.0,2.0,1.0,1.8,0.31999999999999995,2.0,0.0,5.0,5.0,3.4,1.9200000000000004,5.0,0.0,10.0,10.0,8.0,3.2,10.0,0.0,14.0,14.0,2.8,4.4799999999999995,0.0,1.0,28.0,27.0,16.0,6.0,17.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,4.0,4.0,1.4,1.0399999999999998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.6,0.9600000000000002,1.0,28.11,115.765,87.655,54.584,24.4724,43.015,0.0,1.062,1.062,0.6372,0.50976,1.062,0.0,0.0,0.0,0.0,0.0,0.0,64.0,229.0,165.0,129.2,78.24,64.0
CsSnCl3,Cs1 Sn1 Cl3,17.0,55.0,38.0,31.2,17.04,17.0,5.0,94.0,89.0,73.4,27.359999999999996,94.0,35.453,132.9054519,97.4524519,71.59489038,43.370268456,35.453,171.6,505.08,333.48,264.294,111.2328,171.6,1.0,17.0,16.0,13.2,4.880000000000001,17.0,3.0,6.0,3.0,4.0,1.2,3.0,102.0,244.0,142.0,137.8,42.96,102.0,0.79,3.16,2.37,2.446,0.8568000000000001,3.16,1.0,2.0,1.0,1.8,0.31999999999999995,2.0,0.0,5.0,5.0,3.4,1.9200000000000004,5.0,0.0,10.0,10.0,2.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,13.0,7.2,2.72,7.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,4.0,4.0,1.4,1.0399999999999998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.6,0.9600000000000002,1.0,24.4975,115.765,91.2675,44.508500000000005,28.5026,24.4975,0.0,2.493,2.493,1.4957999999999998,1.19664,2.493,0.0,0.0,0.0,0.0,0.0,0.0,64.0,229.0,165.0,112.4,58.08,64.0
CsSnBr3,Cs1 Sn1 Br3,35.0,55.0,20.0,42.0,8.4,35.0,5.0,95.0,90.0,74.0,27.6,95.0,79.904,132.9054519,53.001451900000006,98.26549037999999,22.033788456,79.904,265.8,505.08,239.27999999999997,320.814,73.7064,265.8,1.0,17.0,16.0,13.2,4.880000000000001,17.0,4.0,6.0,2.0,4.6,0.72,4.0,120.0,244.0,124.0,148.6,38.16,120.0,0.79,2.96,2.17,2.3259999999999996,0.7608,2.96,1.0,2.0,1.0,1.8,0.31999999999999995,2.0,0.0,5.0,5.0,3.4,1.9200000000000004,5.0,0.0,10.0,10.0,8.0,3.2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,16.0,13.2,4.880000000000001,17.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,4.0,4.0,1.4,1.0399999999999998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.6,0.9600000000000002,1.0,29.48,115.765,86.285,47.498000000000005,27.306800000000003,29.48,0.0,1.457,1.457,0.8742000000000001,0.6993600000000001,1.457,0.0,0.0,0.0,0.0,0.0,0.0,64.0,229.0,165.0,112.4,58.08,64.0
CsSnI3,Cs1 Sn1 I3,50.0,55.0,5.0,52.8,1.1200000000000017,53.0,5.0,96.0,91.0,74.6,27.840000000000003,96.0,118.71,132.9054519,14.195451900000009,126.46577238,3.1023089520000013,126.90447,301.59,505.08,203.49,393.4440000000001,44.65440000000003,386.85,1.0,17.0,16.0,13.2,4.880000000000001,17.0,5.0,6.0,1.0,5.2,0.3200000000000001,5.0,139.0,244.0,105.0,160.0,33.6,139.0,0.79,2.66,1.87,2.146,0.6168000000000001,2.66,1.0,2.0,1.0,1.8,0.31999999999999995,2.0,0.0,5.0,5.0,3.4,1.9200000000000004,5.0,0.0,10.0,10.0,8.0,3.2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,16.0,13.2,4.880000000000001,17.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,4.0,4.0,1.4,1.0399999999999998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.6,0.9600000000000002,1.0,33.285,115.765,82.48,55.61900000000001,24.058400000000006,43.015,0.0,1.062,1.062,0.6372,0.50976,1.062,0.0,0.0,0.0,0.0,0.0,0.0,64.0,229.0,165.0,112.4,58.08,64.0
CsGeCl3,Cs1 Ge1 Cl3,17.0,55.0,38.0,27.6,12.72,17.0,5.0,94.0,89.0,73.2,27.279999999999994,94.0,35.453,132.9054519,97.4524519,62.380890380000004,32.313468455999995,35.453,171.6,1211.4,1039.8000000000002,405.558,322.33680000000004,171.6,1.0,17.0,16.0,13.2,4.880000000000001,17.0,3.0,6.0,3.0,3.8,0.96,3.0,102.0,244.0,142.0,134.0,44.0,102.0,0.79,3.16,2.37,2.4560000000000004,0.8448,3.16,1.0,2.0,1.0,1.8,0.31999999999999995,2.0,0.0,5.0,5.0,3.4,1.9200000000000004,5.0,0.0,10.0,10.0,2.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,13.0,7.2,2.72,7.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,4.0,4.0,1.4,1.0399999999999998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.6,0.9600000000000002,1.0,23.005,115.765,92.76,42.4525,29.325,24.4975,0.0,2.493,2.493,1.5723999999999998,1.10472,2.493,0.0,0.0,0.0,0.0,0.0,0.0,64.0,229.0,165.0,129.2,78.24,64.0
CsGeBr3,Cs1 Ge1 Br3,32.0,55.0,23.0,38.4,6.639999999999999,35.0,5.0,95.0,90.0,73.8,27.520000000000003,95.0,72.64,132.9054519,60.2654519,89.05149037999999,17.541584607999997,79.904,265.8,1211.4,945.6000000000001,462.0780000000001,299.7288000000001,265.8,1.0,17.0,16.0,13.2,4.880000000000001,17.0,4.0,6.0,2.0,4.4,0.6400000000000002,4.0,120.0,244.0,124.0,144.8,39.68000000000001,120.0,0.79,2.96,2.17,2.336,0.7488,2.96,1.0,2.0,1.0,1.8,0.31999999999999995,2.0,0.0,5.0,5.0,3.4,1.9200000000000004,5.0,0.0,10.0,10.0,8.0,3.2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,16.0,13.2,4.880000000000001,17.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,4.0,4.0,1.4,1.0399999999999998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.6,0.9600000000000002,1.0,23.005,115.765,92.76,45.442,28.129200000000004,29.48,0.0,1.457,1.457,0.9508000000000001,0.6074400000000001,1.457,0.0,0.0,0.0,0.0,0.0,0.0,64.0,229.0,165.0,129.2,78.24,64.0
CsGeI3,Cs1 Ge1 I3,32.0,55.0,23.0,49.2,6.879999999999998,53.0,5.0,96.0,91.0,74.4,27.759999999999998,96.0,72.64,132.9054519,60.2654519,117.25177238,17.844708951999998,126.90447,301.59,1211.4,909.8100000000002,534.708,270.6768,386.85,1.0,17.0,16.0,13.2,4.880000000000001,17.0,4.0,6.0,2.0,5.0,0.4,5.0,120.0,244.0,124.0,156.2,35.11999999999999,139.0,0.79,2.66,1.87,2.156,0.6048000000000001,2.66,1.0,2.0,1.0,1.8,0.31999999999999995,2.0,0.0,5.0,5.0,3.4,1.9200000000000004,5.0,0.0,10.0,10.0,8.0,3.2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,16.0,13.2,4.880000000000001,17.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,4.0,4.0,1.4,1.0399999999999998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.6,0.9600000000000002,1.0,23.005,115.765,92.76,53.56300000000001,24.880800000000004,43.015,0.0,1.062,1.062,0.7138,0.41784,1.062,0.0,0.0,0.0,0.0,0.0,0.0,64.0,229.0,165.0,129.2,78.24,64.0
CsBiCl3,Cs1 Bi1 Cl3,17.0,83.0,66.0,37.8,24.96,17.0,5.0,94.0,89.0,74.6,27.840000000000003,94.0,35.453,208.9804,173.5274,89.64897038000001,65.035164456,35.453,171.6,544.4,372.79999999999995,272.158,120.66959999999999,171.6,1.0,17.0,16.0,13.4,4.959999999999999,17.0,3.0,6.0,3.0,4.2,1.44,3.0,102.0,244.0,142.0,139.6,45.12,102.0,0.79,3.16,2.37,2.458,0.8423999999999999,3.16,1.0,2.0,1.0,1.8,0.31999999999999995,2.0,0.0,5.0,5.0,3.6,1.6799999999999997,5.0,0.0,10.0,10.0,2.0,3.2,0.0,0.0,14.0,14.0,2.8,4.4799999999999995,0.0,1.0,29.0,28.0,10.2,7.519999999999999,7.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,3.0,3.0,1.2,0.72,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.4,0.6399999999999999,1.0,24.4975,115.765,91.2675,44.4415,28.5294,24.4975,0.0,2.493,2.493,1.4957999999999998,1.19664,2.493,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,86.6,56.959999999999994,64.0
CsBiBr3,Cs1 Bi1 Br3,35.0,83.0,48.0,48.6,16.32,35.0,5.0,95.0,90.0,75.2,28.079999999999995,95.0,79.904,208.9804,129.0764,116.31957038,43.698684456,79.904,265.8,544.4,278.59999999999997,328.678,86.2888,265.8,1.0,17.0,16.0,13.4,4.959999999999999,17.0,4.0,6.0,2.0,4.8,0.96,4.0,120.0,244.0,124.0,150.4,37.440000000000005,120.0,0.79,2.96,2.17,2.338,0.7464,2.96,1.0,2.0,1.0,1.8,0.31999999999999995,2.0,0.0,5.0,5.0,3.6,1.6799999999999997,5.0,0.0,10.0,10.0,8.0,3.2,10.0,0.0,14.0,14.0,2.8,4.4799999999999995,0.0,1.0,29.0,28.0,16.2,6.08,17.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,3.0,3.0,1.2,0.72,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.4,0.6399999999999999,1.0,29.48,115.765,86.285,47.431,27.3336,29.48,0.0,1.457,1.457,0.8742000000000001,0.6993600000000001,1.457,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,86.6,56.959999999999994,64.0
CsBiI3,Cs1 Bi1 I3,53.0,83.0,30.0,59.4,9.44,53.0,5.0,96.0,91.0,75.8,28.320000000000004,96.0,126.90447,208.9804,82.07593,144.51985238000003,25.78421904800002,126.90447,301.59,544.4,242.81,401.30800000000005,57.23680000000002,386.85,1.0,17.0,16.0,13.4,4.959999999999999,17.0,5.0,6.0,1.0,5.4,0.4800000000000001,5.0,139.0,244.0,105.0,161.8,32.88000000000001,139.0,0.79,2.66,1.87,2.1580000000000004,0.6024,2.66,1.0,2.0,1.0,1.8,0.31999999999999995,2.0,0.0,5.0,5.0,3.6,1.6799999999999997,5.0,0.0,10.0,10.0,8.0,3.2,10.0,0.0,14.0,14.0,2.8,4.4799999999999995,0.0,1.0,29.0,28.0,16.2,6.08,17.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,3.0,3.0,1.2,0.72,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.4,0.6399999999999999,1.0,32.95,115.765,82.815,55.552,24.085199999999997,43.015,0.0,1.062,1.062,0.6372,0.50976,1.062,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,86.6,56.959999999999994,64.0
RbPbCl3,Rb1 Pb1 Cl3,17.0,82.0,65.0,34.0,20.4,17.0,4.0,94.0,90.0,73.4,27.759999999999998,94.0,35.453,207.2,171.74699999999999,79.80536,53.222832,35.453,171.6,600.61,429.01,285.57399999999996,136.7688,171.6,1.0,17.0,16.0,13.2,4.880000000000001,17.0,3.0,6.0,3.0,4.0,1.2,3.0,102.0,220.0,118.0,134.4,38.88,102.0,0.82,3.16,2.3400000000000003,2.5260000000000002,0.7608,3.16,1.0,2.0,1.0,1.8,0.31999999999999995,2.0,0.0,5.0,5.0,3.4,1.9200000000000004,5.0,0.0,10.0,10.0,2.0,3.2,0.0,0.0,14.0,14.0,2.8,4.4799999999999995,0.0,1.0,28.0,27.0,10.0,7.2,7.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,4.0,4.0,1.4,1.0399999999999998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.6,0.9600000000000002,1.0,24.4975,90.7225,66.225,38.464999999999996,20.903,24.4975,0.0,2.493,2.493,1.4957999999999998,1.19664,2.493,0.0,0.0,0.0,0.0,0.0,0.0,64.0,229.0,165.0,129.2,78.24,64.0
